'',WP$,NNS,WRB,RBR,$,PRP,PRP$,``,JJ,VBG,:,NNPS,FW,NNP,CC,NN,(,),PDT,#,VBP,CD,VBN,RBS,VBZ,WDT,TO,VB,WP,EX,MD,JJR,SYM,RB,DT,VBD,RP,UH,POS,JJS,IN,length
2,0,676,92,7,9,854,26,0,909,102,7,0,5,1056,416,1585,0,0,69,0,829,623,185,1,471,129,295,642,47,23,219,15,0,760,1337,80,35,0,23,2,1277,12808.0
0,1,131,27,7,1,315,25,0,490,92,53,0,6,786,123,961,0,0,18,0,232,103,66,1,311,43,134,343,22,22,113,26,0,318,510,63,6,2,13,45,540,5949.0
1,1,134,43,11,4,410,25,0,518,105,0,0,1,989,157,1211,0,0,6,0,238,67,55,1,418,73,131,300,47,17,87,20,0,403,628,84,19,0,11,5,690,6910.0
1,0,330,64,12,3,670,51,0,809,163,25,2,11,778,265,1499,0,0,18,1,546,158,92,1,481,74,208,481,45,54,128,17,0,536,798,87,23,2,17,31,793,9274.0
0,0,81,5,8,3,109,9,0,134,15,0,0,3,135,80,270,0,0,0,0,82,106,23,0,88,9,29,122,22,8,58,15,0,117,178,8,15,0,2,0,208,1942.0
0,1,33,10,0,0,124,9,0,178,14,0,0,2,135,64,260,0,0,1,0,60,16,29,0,78,12,65,113,7,11,41,1,0,93,166,44,12,0,4,1,171,1755.0
1,0,344,67,14,5,1007,76,0,1259,296,21,3,14,1427,379,2188,0,0,40,0,696,215,111,3,788,131,414,779,89,32,165,27,0,1024,1310,180,30,2,43,7,1367,14554.0
0,0,13,3,1,0,34,1,0,26,27,1,0,1,28,11,85,0,0,1,0,26,19,3,0,32,8,20,23,1,0,2,0,0,28,51,6,3,0,1,1,44,500.0
0,0,229,34,8,4,504,22,0,751,140,0,3,5,800,263,1263,0,0,15,0,408,180,85,0,437,69,153,358,64,27,111,23,0,397,731,138,53,0,12,1,638,7926.0
0,0,65,8,0,2,143,15,0,147,17,0,0,0,127,74,296,0,0,2,0,82,148,26,0,84,7,40,93,7,4,23,2,0,160,194,36,10,0,13,2,141,1968.0
1,1,305,56,6,3,584,51,0,594,263,9,3,5,695,295,1249,0,0,18,0,476,169,79,1,341,74,312,525,26,23,107,15,0,503,719,110,38,0,15,5,783,8459.0
1,0,299,39,8,25,623,38,0,627,98,19,1,9,823,210,1124,0,0,32,0,444,230,48,0,406,47,146,449,79,27,151,14,2,472,690,154,41,1,34,5,629,8045.0
2,0,499,81,25,35,1019,59,0,1300,171,7,1,12,1283,439,2368,0,0,48,0,834,372,139,2,722,95,382,777,53,63,219,56,0,1012,1292,150,59,1,22,40,1324,14963.0
0,1,69,4,2,0,70,3,0,126,14,0,0,3,81,46,201,0,0,2,0,85,34,8,1,82,21,42,61,8,4,22,7,0,82,166,9,3,0,3,4,136,1400.0
0,7,601,114,43,38,1094,146,0,1325,323,69,2,18,2738,1247,3198,0,0,21,1,803,240,270,6,858,151,341,953,109,74,237,55,0,1431,1599,256,92,2,56,22,1779,20319.0
0,0,285,57,11,0,543,38,0,717,104,0,1,7,954,209,1109,0,0,21,0,478,207,76,2,447,78,160,431,84,26,126,23,0,370,770,127,39,1,7,4,654,8166.0
1,1,257,52,5,1,460,19,0,626,65,0,2,7,810,181,1057,0,0,11,0,402,159,63,0,325,56,174,390,41,17,131,12,0,331,594,54,7,0,29,11,621,6972.0
1,2,385,31,10,1,434,40,0,719,131,13,0,7,726,199,1180,0,0,15,0,416,235,111,0,476,81,129,321,56,22,77,17,0,443,794,136,23,0,8,2,859,8100.0
0,1,71,13,5,2,215,45,0,216,71,0,0,2,230,85,489,0,0,6,0,136,110,31,0,139,18,133,226,17,2,47,2,0,173,288,33,10,0,17,4,270,3107.0
5,1,175,40,12,8,537,25,0,647,105,6,1,3,613,261,1084,0,0,16,0,331,196,54,2,462,62,205,386,36,20,108,15,0,495,730,118,31,2,13,2,633,7440.0
2,0,282,32,17,7,565,35,0,682,70,3,1,10,560,283,1157,0,0,41,0,413,170,140,1,496,66,200,493,51,23,166,30,0,621,833,51,41,0,2,10,894,8448.0
0,1,25,0,2,0,12,1,0,39,4,0,0,0,21,10,41,0,0,2,0,18,2,2,0,10,3,5,13,0,1,9,1,0,14,27,1,1,0,0,0,28,293.0
2,0,285,45,7,1,632,34,0,587,97,0,1,8,838,317,1335,0,0,27,0,467,595,106,0,469,76,130,476,100,24,188,19,1,419,962,159,46,0,12,2,776,9243.0
0,0,211,75,6,1,506,13,0,637,78,3,0,5,972,229,1047,0,0,5,0,402,117,60,0,311,51,159,423,40,18,101,3,1,460,490,60,8,1,11,3,668,7175.0
0,0,241,56,9,0,465,38,0,624,77,0,2,5,725,247,1260,0,0,12,0,377,101,112,3,312,81,173,380,27,23,129,11,0,393,668,47,27,0,11,2,822,7460.0
0,0,70,21,6,0,244,49,0,232,41,1,0,4,222,77,525,0,0,7,0,121,83,14,1,159,26,76,204,14,5,64,2,0,160,287,42,13,0,2,0,290,3062.0
1,0,588,104,26,0,911,220,0,1120,363,0,0,12,1335,522,2668,0,0,36,0,845,191,153,5,697,112,491,843,104,24,243,37,0,844,1553,126,79,2,7,10,1848,16120.0
0,0,246,33,4,5,567,29,0,668,192,17,0,6,938,351,1405,0,0,24,0,491,130,98,2,444,84,241,449,40,20,103,29,0,455,790,91,48,0,16,54,804,8874.0
3,2,266,27,5,0,397,31,0,487,53,0,1,8,672,189,1032,0,0,15,0,366,255,42,2,375,35,91,294,85,21,98,14,0,309,716,70,16,0,10,3,614,6604.0
1,0,204,32,10,3,560,17,0,715,94,0,0,7,1016,253,1295,0,0,21,0,400,161,77,2,422,74,214,481,26,33,131,21,0,616,862,118,25,1,12,10,803,8717.0
0,1,369,45,18,5,797,70,0,1046,223,59,0,7,1112,421,2027,0,0,35,0,663,215,152,2,560,125,288,680,93,42,189,39,0,722,1021,138,53,1,15,37,1186,12456.0
0,3,227,34,6,0,498,19,0,668,138,0,1,4,786,186,1082,0,0,12,0,345,134,66,2,467,64,187,364,76,36,91,7,0,378,722,90,34,0,16,4,647,7394.0
1,1,173,43,6,4,443,25,0,493,85,0,1,4,1068,160,1152,0,0,11,0,315,98,50,5,369,78,148,322,50,4,104,10,0,360,707,52,9,1,5,16,651,7024.0
3,0,308,50,8,5,528,21,0,657,170,19,0,6,652,307,1219,0,0,9,0,449,230,126,2,292,64,260,407,53,12,86,19,0,384,591,129,56,1,32,6,778,7939.0
0,0,20,1,0,0,29,3,0,24,11,1,0,0,31,13,62,0,0,2,0,22,12,8,0,15,8,14,15,1,0,3,1,0,20,33,1,0,0,0,0,35,385.0
1,0,106,3,5,0,74,6,0,156,22,1,0,1,128,34,253,0,0,5,0,85,72,25,0,80,23,37,65,6,4,13,5,0,71,197,34,2,0,1,1,180,1696.0
1,0,465,78,28,21,1017,55,0,1031,330,43,1,13,1021,444,1903,0,0,24,0,791,274,212,1,684,98,409,778,119,32,190,66,0,813,1103,183,87,3,9,12,1313,13652.0
0,0,344,56,13,5,633,39,0,619,143,4,2,9,533,271,1185,0,0,17,0,498,118,139,2,334,43,171,444,62,16,123,23,0,442,659,118,43,1,10,19,768,7906.0
0,0,34,9,2,5,103,14,0,152,34,0,0,1,147,50,241,0,0,14,0,61,56,11,1,74,4,44,119,14,2,24,1,0,113,170,35,3,0,9,0,87,1634.0
0,0,67,7,0,1,201,13,0,229,63,0,0,0,264,51,429,0,0,6,0,143,33,22,0,117,10,95,175,13,5,28,0,0,161,249,31,15,0,15,0,200,2643.0
1,0,42,9,0,2,68,14,0,101,12,0,0,0,103,41,226,0,0,0,0,45,43,8,0,79,5,51,56,10,1,13,18,0,90,120,18,3,0,2,0,125,1306.0
3,3,407,49,14,24,704,24,0,882,108,17,3,18,1027,320,1935,0,0,22,0,619,286,170,2,441,108,226,588,67,36,201,8,0,579,1056,203,27,0,30,3,1255,11465.0
0,0,346,54,10,1,512,47,0,873,136,0,0,5,737,228,1468,0,0,26,0,438,139,97,2,513,99,190,357,51,19,85,16,0,360,996,92,33,1,22,5,905,8863.0
1,1,584,111,22,10,924,44,0,1025,239,0,1,16,1054,438,2403,0,0,57,0,678,163,219,0,714,186,318,682,67,43,205,39,0,925,1469,211,64,0,17,33,1434,14397.0
1,0,479,91,29,14,863,40,0,1123,238,23,1,9,844,360,2006,0,0,45,0,695,350,107,6,535,86,333,696,36,35,185,40,0,781,1132,183,41,5,24,28,1197,12661.0
3,0,578,58,21,6,847,47,0,1432,209,9,3,15,1033,397,2191,0,0,30,0,758,239,155,0,642,103,366,706,37,75,197,46,0,810,1139,154,58,1,28,32,1226,13651.0
0,1,241,48,7,2,494,14,0,745,69,1,0,0,1100,251,906,0,0,7,0,410,178,45,2,372,52,149,439,55,38,140,20,0,514,588,54,23,1,4,3,689,7662.0
0,3,79,4,2,3,87,3,0,128,15,0,0,0,162,69,211,0,0,3,0,80,90,10,0,72,12,29,77,10,3,13,0,0,65,155,17,8,0,0,0,151,1561.0
1,0,529,86,16,0,979,54,0,1153,193,26,1,15,1430,444,2042,0,0,31,0,788,192,155,6,673,107,289,716,48,59,211,53,0,849,1183,190,71,2,19,32,1356,13999.0
2,3,219,58,9,2,533,18,0,728,130,2,0,3,1021,200,1272,0,0,20,0,374,117,90,3,472,57,236,448,63,23,102,12,0,369,754,128,43,1,26,7,732,8277.0
0,0,70,4,2,1,53,3,0,94,14,0,0,2,50,16,149,0,0,1,0,71,26,9,0,30,8,41,58,5,1,14,1,1,35,90,10,2,0,1,0,103,965.0
0,0,38,0,3,8,65,0,0,95,11,0,0,0,157,32,165,0,0,6,0,43,57,17,0,55,10,23,52,2,5,27,4,0,69,106,20,7,0,3,0,125,1205.0
1,0,67,10,0,2,95,17,0,176,10,0,0,2,115,83,229,0,0,1,0,70,129,12,0,106,14,67,83,10,2,16,1,0,89,114,14,10,0,5,0,95,1645.0
1,0,76,6,1,0,148,10,0,183,21,0,0,0,282,81,216,0,0,0,0,84,87,14,0,75,6,48,122,13,0,29,2,0,141,169,26,9,0,3,0,163,2016.0
1,0,222,56,9,0,563,33,0,676,70,2,0,6,1192,257,1220,0,0,10,0,375,126,90,1,394,59,195,478,43,25,150,24,0,602,638,133,41,1,2,3,868,8565.0
0,0,75,5,1,0,98,10,0,130,19,0,0,2,181,52,264,0,0,4,0,100,31,18,0,101,20,44,62,4,2,25,9,0,86,226,16,1,1,4,0,196,1787.0
2,0,390,70,13,25,1018,117,0,1180,301,51,7,10,1171,381,2451,0,0,25,0,737,434,168,3,971,161,386,713,142,24,154,77,0,982,1223,227,34,4,16,29,1382,15079.0
1,0,122,40,5,3,400,36,0,385,72,1,0,4,392,126,830,0,0,10,0,193,91,41,1,272,25,198,353,43,6,103,12,0,316,426,74,29,0,13,2,469,5094.0
0,0,78,9,3,0,163,43,0,251,31,1,1,2,203,90,403,0,0,5,0,98,37,24,0,152,12,63,141,23,2,35,0,0,132,285,20,15,0,12,1,227,2562.0
16,0,148,38,11,8,493,30,0,640,123,27,0,6,617,216,1172,0,0,13,0,308,131,75,0,523,78,181,376,43,26,89,24,0,518,710,95,37,2,20,5,661,7460.0
0,0,526,82,8,0,778,58,0,977,125,13,1,14,1167,464,2125,0,0,27,0,665,148,204,1,568,151,274,735,95,72,283,22,0,619,1273,109,37,2,14,3,1543,13183.0
0,0,19,2,0,5,58,1,0,57,28,1,0,0,85,18,114,0,0,1,0,66,28,3,1,24,8,23,53,2,1,2,1,0,51,58,5,6,0,0,0,81,802.0
0,0,16,3,0,0,24,1,0,29,18,1,0,0,27,20,76,0,0,1,0,26,32,5,0,26,2,11,20,0,1,2,0,0,26,32,2,9,1,0,0,31,442.0
1,0,337,73,9,19,756,44,0,748,147,185,0,6,1375,262,1547,0,0,28,0,521,276,84,2,505,61,186,527,78,16,119,42,0,521,711,203,53,2,13,21,927,10405.0
3,2,317,49,21,13,876,40,0,1206,181,21,3,14,1534,361,2284,0,0,35,0,673,209,137,2,694,98,309,707,47,44,205,67,0,719,1178,166,30,3,30,57,1222,13557.0
1,0,71,21,5,1,277,52,0,291,79,0,1,2,259,147,640,0,0,5,0,159,98,23,0,206,16,136,256,28,9,64,13,0,255,355,41,13,0,13,0,336,3873.0
29,0,143,41,6,9,456,7,0,620,70,26,2,7,971,176,1099,0,0,10,0,293,105,85,0,375,40,111,300,66,24,80,19,0,349,598,108,38,1,33,4,546,6847.0
0,0,50,5,1,0,93,7,0,106,23,0,0,3,103,47,213,0,0,1,0,66,82,8,0,76,7,36,72,8,2,13,3,0,62,118,8,10,0,4,0,88,1315.0
0,0,42,7,0,11,88,5,0,148,13,1,2,2,139,37,265,0,0,8,0,45,104,18,0,81,9,29,84,8,3,28,5,0,68,159,32,9,0,9,0,127,1586.0
0,0,358,83,21,75,905,43,0,1082,208,60,3,10,1135,411,1719,0,0,16,0,730,511,142,1,700,77,267,576,63,34,121,50,0,755,983,175,53,0,19,10,1097,12493.0
1,0,196,45,9,3,457,26,0,476,104,1,0,4,1192,179,968,0,0,14,0,306,200,61,4,390,55,132,359,37,12,98,25,0,436,590,66,12,0,8,2,681,7149.0
0,1,199,10,6,0,361,29,0,325,59,0,1,2,249,170,835,0,0,9,0,280,123,42,0,214,22,124,285,29,14,99,22,0,317,571,53,14,1,3,2,524,4995.0
0,0,77,14,3,0,97,1,0,165,31,0,0,0,91,47,314,0,0,5,0,80,40,18,0,71,23,33,62,10,4,19,2,0,54,198,37,5,0,0,0,186,1687.0
0,0,42,6,0,2,84,16,0,86,7,1,0,0,130,43,186,0,0,3,0,67,57,6,0,53,6,31,55,12,0,17,2,0,90,106,10,1,0,2,0,69,1190.0
1,0,339,65,4,6,698,40,0,738,106,343,2,8,1420,196,1224,0,1,22,0,615,257,83,4,434,46,204,498,121,32,100,23,0,406,758,137,34,3,53,19,774,9814.0
0,0,7,1,0,0,6,0,0,34,3,1,0,0,25,11,44,0,0,0,0,6,14,5,0,23,2,3,5,0,0,1,0,0,16,17,1,0,0,2,0,22,249.0
0,0,397,59,31,12,711,94,0,905,171,128,2,10,1786,388,1732,0,0,39,0,550,288,200,4,774,62,256,676,97,70,169,46,0,746,926,241,70,7,26,35,1044,12752.0
0,0,72,12,3,0,226,39,0,241,41,0,0,0,206,104,628,0,0,5,0,113,83,77,2,120,22,102,249,18,16,146,12,0,225,296,21,3,0,6,11,377,3476.0
10,0,177,28,9,19,520,21,0,576,120,15,1,5,717,209,1082,0,0,15,0,366,165,88,3,397,49,215,422,59,15,79,18,0,520,712,113,44,1,12,5,632,7439.0
1,0,307,28,1,0,456,27,0,646,73,0,1,8,820,203,1045,0,0,12,0,389,272,61,3,366,47,105,344,83,42,107,9,0,280,681,112,23,1,31,2,629,7215.0
0,1,194,25,9,3,460,17,0,595,92,15,0,2,613,209,1061,0,0,16,0,311,116,86,1,448,50,167,325,45,26,95,14,0,489,666,96,36,1,4,7,642,6937.0
0,0,228,58,11,0,528,44,0,605,85,0,0,5,718,209,1319,0,0,18,0,345,103,79,1,377,66,195,467,45,11,175,18,0,449,753,73,37,0,14,1,804,7841.0
0,0,25,0,2,0,37,3,0,86,10,0,0,0,44,37,112,0,0,2,0,23,55,5,0,48,4,21,33,4,0,8,8,0,48,75,9,3,0,0,0,88,790.0
0,1,80,18,3,9,285,37,0,283,52,0,0,7,365,61,566,0,0,4,0,142,138,36,0,157,11,97,222,26,5,54,1,0,200,347,90,19,0,13,0,238,3567.0
4,0,550,98,22,16,1324,26,0,1236,308,42,1,21,1353,563,2494,0,0,43,0,998,360,164,7,797,134,413,1014,99,46,304,55,0,931,1728,258,52,1,38,22,1569,17091.0
3,0,294,75,24,4,969,31,0,800,265,13,1,3,925,349,1691,0,0,19,0,669,158,146,1,450,63,332,716,44,33,162,68,0,656,1003,155,60,1,24,61,1069,11337.0
1,0,125,11,2,13,152,27,0,241,40,0,0,0,181,73,366,0,0,6,0,148,145,21,0,96,28,65,126,7,5,22,20,0,143,226,33,2,0,4,6,265,2600.0
0,0,50,9,3,1,67,3,0,156,77,0,0,1,241,86,258,0,0,4,0,36,99,17,0,146,21,70,111,14,3,17,13,0,101,171,12,3,0,5,0,188,1983.0
0,0,46,4,1,3,128,4,0,197,16,0,0,0,132,73,218,0,0,3,0,68,57,37,0,60,6,50,123,4,2,36,5,0,106,146,21,6,0,5,0,178,1735.0
0,0,488,94,44,12,881,85,0,1074,349,0,5,9,991,501,2197,0,0,19,0,659,194,182,5,590,119,334,703,94,47,195,49,0,982,1241,205,68,0,14,11,1566,14007.0
1,0,364,57,21,16,571,44,0,921,146,29,1,7,938,253,2230,0,0,31,0,432,209,192,0,615,107,244,446,65,52,161,38,0,582,1242,212,46,1,11,4,1390,11679.0
0,0,36,2,1,1,49,8,0,62,10,0,0,0,57,16,104,0,0,0,0,26,41,13,0,41,7,42,52,4,0,18,0,0,54,62,10,4,0,3,0,75,798.0
0,1,361,38,9,18,599,27,0,814,109,58,2,7,834,276,1297,0,0,31,0,458,307,90,2,402,70,138,430,45,39,146,17,0,562,728,147,35,6,19,16,833,8971.0
0,0,63,2,3,0,76,5,0,162,19,0,1,1,107,44,195,0,0,3,0,46,74,12,0,66,6,79,90,7,2,28,2,0,82,164,12,3,0,1,0,125,1480.0
0,1,567,75,11,7,511,33,0,771,151,1,0,6,637,182,1103,0,0,33,0,541,299,128,1,418,88,207,375,46,42,95,10,0,410,861,91,28,0,10,4,873,8616.0
0,0,350,77,14,12,646,21,0,734,144,30,0,7,1116,304,1849,0,0,28,0,492,256,143,2,642,129,248,464,80,53,176,34,0,612,1056,182,53,3,8,11,1269,11245.0
1,0,75,8,0,0,121,4,0,173,22,0,1,1,168,72,223,0,0,4,0,89,31,8,1,66,8,61,130,14,0,33,3,0,106,165,28,9,0,8,1,142,1776.0
0,1,100,19,2,9,199,46,0,218,26,0,0,0,259,75,407,0,0,14,0,123,145,23,0,169,17,83,161,15,6,25,1,0,162,294,41,11,0,13,0,245,2909.0
0,0,236,45,14,2,683,19,0,868,146,0,1,6,957,299,1358,0,0,19,0,377,181,99,6,534,96,261,558,47,30,158,19,0,750,849,149,45,0,15,9,989,9825.0
0,0,13,1,4,0,13,0,0,34,3,0,0,0,44,13,59,0,0,0,0,14,8,5,0,23,1,3,9,0,0,1,0,0,16,40,5,0,0,0,0,39,348.0
0,0,755,151,23,11,1066,33,0,1136,231,7,2,10,877,437,1917,0,0,34,0,976,201,157,8,598,101,372,793,118,51,209,48,0,790,1227,130,61,1,13,30,1500,14074.0
0,0,50,8,0,1,287,34,0,343,47,0,0,4,348,87,738,0,0,2,0,141,17,42,0,261,27,165,263,22,26,52,8,0,211,452,47,12,0,10,0,445,4150.0
3,0,179,38,20,10,492,22,0,558,99,11,0,3,815,240,1138,0,0,23,0,331,145,76,2,470,82,210,396,59,32,67,25,0,474,730,116,37,2,12,10,647,7574.0
0,0,106,9,0,0,231,15,0,286,34,0,0,0,243,134,533,0,0,6,0,176,38,69,1,123,11,64,162,18,5,26,1,0,200,341,80,22,0,7,1,243,3185.0
0,0,145,11,5,6,242,26,0,326,63,1,0,3,239,136,546,0,0,15,0,166,151,47,1,166,9,94,210,20,7,59,2,0,184,350,42,10,0,7,2,270,3561.0
0,2,209,36,4,3,471,32,0,631,91,2,1,5,610,133,1154,0,0,23,0,384,130,65,2,406,58,148,384,77,24,112,18,0,349,681,98,33,0,19,25,585,7005.0
1,1,299,63,11,1,446,15,0,743,71,0,0,6,766,244,1106,0,0,8,0,381,55,52,1,284,40,154,405,41,12,121,20,0,425,496,57,12,1,30,2,735,7105.0
2,0,280,78,10,12,970,11,0,914,290,7,3,13,877,309,1893,0,0,49,0,687,243,118,1,515,74,390,692,75,37,140,54,0,599,1122,168,49,1,14,17,1225,11939.0
0,0,42,10,3,2,150,7,0,190,30,0,0,0,264,99,424,0,0,4,0,91,55,19,0,124,13,52,143,15,1,39,4,0,130,302,32,16,0,3,3,189,2456.0
0,0,50,5,4,0,50,1,0,156,19,0,0,1,140,45,206,0,0,7,0,43,84,26,0,79,9,56,50,3,3,22,2,0,67,130,18,3,0,1,1,134,1415.0
0,0,147,22,6,9,162,9,0,249,51,0,0,3,226,122,516,0,0,11,0,137,241,42,0,179,34,88,131,7,5,42,10,0,194,255,50,12,1,3,3,345,3312.0
0,1,68,5,2,2,144,16,0,137,39,0,0,0,200,70,443,0,0,13,1,90,35,45,0,71,8,56,168,4,6,101,6,0,123,230,12,5,0,0,7,290,2398.0
0,0,298,46,8,5,530,22,0,608,158,1,0,3,854,240,1211,0,0,17,0,393,202,116,10,452,87,174,399,49,24,134,22,0,643,706,104,25,0,12,5,840,8398.0
1,0,21,5,2,0,80,7,1,82,24,0,0,1,44,32,170,0,0,1,0,28,63,7,0,60,9,24,80,12,1,30,0,0,78,97,14,1,0,1,0,108,1084.0
1,0,442,44,19,8,715,44,0,826,258,27,2,8,1225,442,1763,0,0,29,0,595,329,184,1,648,109,358,568,89,50,125,39,0,712,1115,220,53,1,9,17,1151,12226.0
2,1,337,47,27,10,800,71,0,995,271,80,2,6,1814,917,2371,0,0,28,0,569,353,150,3,530,73,292,612,91,30,144,68,0,984,1023,213,69,2,23,39,1275,14322.0
4,1,425,96,13,10,854,31,0,1182,237,9,0,7,830,420,2177,0,0,33,0,725,337,165,1,725,118,383,568,83,26,113,71,0,757,1221,121,44,1,29,10,1580,13407.0
3,0,306,58,4,8,558,32,0,716,82,0,1,7,1131,233,1227,0,0,29,0,504,278,66,0,409,59,156,414,100,25,150,15,0,372,770,158,35,1,11,6,715,8639.0
1,0,36,16,0,4,122,11,0,130,12,0,0,2,107,53,229,0,0,0,0,64,58,14,0,64,6,30,111,6,3,27,2,0,119,159,19,6,0,5,0,129,1545.0
2,0,380,56,3,17,664,24,0,858,119,41,1,7,1062,338,2032,0,0,16,0,518,448,220,2,490,87,344,494,76,18,194,29,0,472,1029,191,40,1,9,7,1248,11537.0
0,0,57,3,1,0,47,5,0,77,19,0,0,0,82,19,181,0,0,1,0,55,11,9,0,56,10,33,42,6,5,6,0,0,35,113,5,6,0,0,0,105,989.0
1,0,237,41,2,0,545,33,0,491,52,20,2,12,911,183,1012,0,0,19,0,452,254,53,0,384,66,104,362,55,16,97,14,0,385,673,95,23,3,9,5,622,7233.0
0,0,46,7,1,0,31,8,0,69,5,0,0,0,75,19,134,0,0,2,0,43,16,9,0,43,8,7,27,1,1,19,0,0,22,95,6,1,0,0,0,106,801.0
0,1,7,0,0,0,31,4,0,29,10,1,0,0,68,16,93,0,0,0,0,33,9,5,0,28,3,13,32,1,0,3,0,0,23,43,1,0,0,1,1,37,493.0
0,0,14,4,0,0,35,2,0,61,12,0,0,0,121,31,78,0,0,0,0,27,6,11,0,36,6,20,40,1,0,11,2,0,55,61,9,2,0,0,0,65,710.0
1,0,311,72,13,1,614,56,0,915,138,91,1,9,1053,338,2157,0,0,31,0,540,105,141,1,524,133,197,494,69,36,189,11,0,540,1057,111,14,4,15,1,1311,11294.0
0,0,111,9,0,0,62,6,0,96,12,0,0,0,30,37,158,0,0,5,0,61,6,19,0,18,4,19,65,5,1,33,2,0,52,110,4,3,0,3,1,149,1081.0
1,0,212,40,5,0,481,17,0,713,92,2,0,2,714,197,1115,0,0,21,0,360,105,70,1,352,60,154,391,50,31,133,23,0,394,663,107,22,1,23,4,663,7219.0
2,0,71,18,4,1,145,13,0,265,40,0,0,2,311,120,466,0,0,7,0,76,136,26,0,247,30,112,168,32,2,49,13,0,201,259,33,14,0,6,0,280,3149.0
0,0,105,5,3,0,117,12,0,197,31,0,0,1,142,67,459,0,0,7,0,92,95,51,1,85,18,66,135,5,4,81,6,0,169,200,9,7,0,7,6,306,2489.0
2,0,317,45,7,6,519,76,0,564,221,13,1,6,606,245,1337,0,0,14,0,460,97,105,3,346,73,188,449,42,25,117,35,0,461,775,104,64,2,13,1,766,8105.0
2,0,270,41,11,10,749,17,0,676,146,63,0,7,657,345,1437,0,0,21,0,544,243,148,0,400,66,272,568,81,32,163,51,0,472,745,137,39,3,17,4,804,9241.0
1,0,197,32,8,0,564,20,0,734,114,1,1,3,1125,249,1191,0,0,16,0,374,127,89,4,517,62,299,458,87,16,104,19,0,401,810,127,34,1,9,8,681,8483.0
1,0,211,45,2,1,419,26,0,577,46,0,0,8,715,187,1067,0,0,17,0,382,245,62,2,389,54,110,348,87,55,109,14,0,361,703,105,20,1,6,2,526,6903.0
0,0,79,7,1,1,85,0,0,130,44,0,0,1,73,58,268,0,0,10,0,101,43,15,0,65,15,42,67,5,3,21,6,0,83,205,4,14,1,23,3,188,1661.0
